season,holiday,weekday,workingday,weathersit,temp,year,months,hours,humidity,counts
springer,0,Sun,0,Clear + Few clouds,0.2,0,Jan,11,0.55,72
winter,0,Wed,1,Clear + Few clouds,0.52,0,Oct,18,0.42,518
winter,0,Thu,1,"Light Snow, Light Rain + Thunderstorm",0.46,0,Dec,3,1.0,3
summer,0,Mon,0,Mist + Cloudy,0.46,0,Apri,18,0.31,172
springer,0,Mon,0,Clear + Few clouds,0.2,0,Dec,6,0.75,1
summer,0,Thu,1,Clear + Few clouds,0.72,1,Jun,16,0.3,392
springer,0,Wed,1,Mist + Cloudy,0.22,0,Jan,15,0.87,35
winter,0,Mon,0,Clear + Few clouds,0.42,1,Oct,4,0.77,12
springer,0,Wed,1,Clear + Few clouds,0.6,1,Mar,13,0.78,284
springer,0,Fri,1,Clear + Few clouds,0.22,0,Feb,15,0.37,60
springer,0,Sat,1,Clear + Few clouds,0.24,0,Jan,17,0.75,149
fall,0,Mon,0,Mist + Cloudy,0.64,1,Aug,4,0.89,16
fall,0,Wed,1,Mist + Cloudy,0.6,0,Sep,16,0.83,264
springer,0,Thu,1,Mist + Cloudy,0.28,1,Feb,13,0.61,126
summer,0,Sat,1,Clear + Few clouds,0.52,1,Apri,16,0.29,440
winter,0,Sun,0,Clear + Few clouds,0.28,0,Dec,16,0.45,222
summer,0,Thu,1,Clear + Few clouds,0.66,1,Apri,19,0.39,494
springer,0,Thu,1,Clear + Few clouds,0.3,1,Mar,9,0.61,264
fall,0,Sun,0,Clear + Few clouds,0.74,1,Aug,18,0.37,554
springer,0,Thu,1,Clear + Few clouds,0.34,1,Jan,4,0.46,1
summer,0,Sat,1,Mist + Cloudy,0.52,0,May,13,0.88,226
summer,0,Mon,0,Clear + Few clouds,0.74,0,Jun,17,0.51,390
winter,0,Sun,0,Clear + Few clouds,0.24,0,Nov,6,0.6,12
summer,0,Wed,1,Clear + Few clouds,0.62,0,May,17,0.65,604
fall,0,Thu,1,Clear + Few clouds,0.54,0,Aug,5,0.83,27
winter,0,Sat,1,Mist + Cloudy,0.54,1,Oct,8,0.88,734
winter,0,Tue,1,Clear + Few clouds,0.28,1,Nov,22,0.56,115
summer,0,Sun,0,Clear + Few clouds,0.68,1,Jun,23,0.61,230
winter,0,Sun,0,Mist + Cloudy,0.4,1,Dec,11,0.87,404
fall,1,Thu,0,Clear + Few clouds,0.68,1,July,7,0.65,72
fall,0,Thu,1,Clear + Few clouds,0.58,0,Aug,3,0.68,1
winter,0,Fri,1,Mist + Cloudy,0.34,0,Dec,8,0.66,457
fall,0,Sun,0,Clear + Few clouds,0.68,0,Aug,0,0.51,84
winter,0,Fri,1,Mist + Cloudy,0.52,1,Oct,21,0.88,271
springer,0,Mon,0,Clear + Few clouds,0.36,0,Mar,12,0.4,228
fall,0,Wed,1,Clear + Few clouds,0.86,0,Aug,12,0.3,157
fall,0,Wed,1,Clear + Few clouds,0.7,1,Aug,3,0.84,6
springer,0,Tue,1,Clear + Few clouds,0.1,0,Jan,5,0.54,3
springer,0,Tue,1,Clear + Few clouds,0.12,1,Feb,3,0.54,1
summer,0,Fri,1,Clear + Few clouds,0.56,1,May,10,0.52,205
summer,0,Sun,0,Clear + Few clouds,0.52,1,Apri,1,0.77,88
